code_uic;gare;guichet_adapte_pmr;boucle_magnetique;portes_automatiques_acces;bandes_eveil_vigilance;automates_transilien_accessibles;cab_passage_elargi_controle;ascenceurs;escaliers_mecaniques
87682211;FONTAINEBLEAU AVON;1;1;1;0;1;Pas de CAB;0;
87276196;GARGES SARCELLES;1;1;1;1;1;1;2;1
87381244;GISORS;;;;;;;;
87681353;GRAND BOURG;0;1;0;0;0;Pas de CAB;0;
87681379;GRIGNY CENTRE;1;1;1;1;1;1;2;4
87276360;GROSLAY;1;1;1;1;1;Pas de CAB;2;
87116269;GUERARD LA CELLE SUR MORIN;0;0;0;0;0;Pas de CAB;0;
87381889;HERBLAY;0;1;0;0;1;1;0;
87682435;HERICY;0;0;0;1;0;Pas de CAB;0;
87386409;HOUILLES CARRIERES SUR SEINE;1;1;1;1;1;3;4;1
87116616;ISLES ARMENTIERES CONGIS;;;;;0;;;
87393512;JOUY EN JOSAS;0;1;0;0;0;Pas de CAB;0;
87276287;LA BORNE BLANCHE;;;;;;;;
87381871;LA FRETTE MONTIGNY;0;1;0;0;0;Pas de CAB;0;
87386003;LA GARENNE COLOMBES;0;1;1;0;1;2;2;1
87113886;L'ABBAYE (T4);0;0;0;1;1;Pas de CAB;0;
87545160;LARDY;0;1;0;0;0;Pas de CAB;0;
87683268;LAROCHE MIGENNES;;;;;;;;
87758169;LE PARC DE SAINT-MAUR;;;;;;;;
87381095;LE STADE;0;0;0;0;1;Pas de CAB;0;1
87758086;LE VESINETLE PECQ;;;;;;;;
87113845;LES COQUETIERS (T4);0;0;0;1;1;Pas de CAB;0;
87113852;LES PAVILLONS SOUS BOIS (T4);0;0;0;1;1;Pas de CAB;0;
87546226;LES SAULES;0;1;0;0;0;Pas de CAB;0;
87113803;LES YVRIS - NOISY LE GRAND;0;1;0;1;1;Pas de CAB;0;2
87682153;LIEUSAINT MOISSY;1;1;1;1;1;2;3;3
87116632;LIZY SUR OURCQ;0;1;0;1;0;Pas de CAB;0;
87382457;LOUVECIENNES;0;0;0;0;1;Pas de CAB;0;
87386425;MAISONS LAFFITTE;0;1;0;1;1;1;1;2
87681486;MAISSE;0;1;0;0;0;Pas de CAB;0;
87382812;MAREIL MARLY;0;0;0;1;1;Pas de CAB;0;
87381715;MAREIL SUR MAULDRE;0;0;0;0;0;Pas de CAB;0;
87116665;MAREUIL SUR OURCQ;;;;;;;;
87116228;MARLES EN BRIE;0;1;0;0;0;Pas de CAB;0;
87381483;MAURECOURT;0;1;0;0;0;Pas de CAB;0;
87276675;MERIEL;;1;0;0;0;Pas de CAB;0;
87393892;MONTFORT L'AMAURY MERE;0;1;0;0;1;Pas de CAB;2;
87382879;MONTREUIL;0;1;0;0;1;1;0;1
87116244;MORTCERF;0;0;0;0;0;Pas de CAB;0;
87681403;MOULIN GALANT;0;1;0;0;0;Pas de CAB;0;
87116285;MOUROUX;0;0;0;0;0;Pas de CAB;0;
87547307;MUSEE D'ORSAY;1;1;0;1;1;1;0;8
87116095;NANGIS;0;1;0;0;1;Pas de CAB;0;
87758029;NANTERRE PREFECTURE;;;;;;;;
87758045;NANTERRE VILLE;;;;;;;;
87758136;NOGENT SUR MARNE;;;;;;;;
87276758;NOINTEL MOURS;1;1;0;1;0;Pas de CAB;0;
87758342;NOISY CHAMPS;;;;;;;;
87758730;PARC DE SCEAUX;;;;;;;;
87686030;PARIS GARE DE LYON;;;;;1;;;
87271163;PIERREFITTE STAINS;1;1;1;1;1;Pas de CAB;0;
87393421;PLAISIR GRIGNON;0;1;1;1;1;1;0;
87683136;PONT SUR YONNE;;;;;;;;
87116160;PROVINS;0;1;0;0;1;Pas de CAB;0;
87382382;PUTEAUX;0;1;0;1;1;Pas de CAB;0;1
87393314;RAMBOUILLET;1;1;1;0;1;1;0;
87113696;ROSNY BOIS PERRIER;1;1;1;1;1;Pas de CAB;0;
87113704;ROSNY SOUS BOIS;1;1;1;1;1;Pas de CAB;2;
87545509;SAINT-CHERON;1;1;0;0;0;Pas de CAB;0;
87382804;SAINT-GERMAIN EN LAYE GRANDE CEINTURE;1;1;0;1;1;Pas de CAB;0;
87545350;SAINT-MARTIN D'ETAMPES;0;1;0;0;0;Pas de CAB;0;
87547315;SAINT-MICHEL NOTRE DAME;0;1;1;1;1;Pas de CAB;0;
87276105;SAINT-OUEN L'AUMONE;1;1;1;1;1;2;0;
87337980;SAINT-OUEN L'AUMONE LIESSE;1;1;1;1;1;2;2;2
87386417;SARTROUVILLE;1;1;1;1;1;1;3;2
87683003;SENS;;;;;;;;
87545517;SERMAISE;0;1;0;0;1;Pas de CAB;0;
87271429;SEVRAN LIVRY;1;1;1;1;1;1;0;
87684217;SOUPPES CHÂTEAU LANDON;0;1;0;1;0;Pas de CAB;0;
87164780;STADE DE FRANCE SAINT-DENIS;1;1;1;1;1;1;2;2
87393454;TACOIGNIERES RICHEBOURG;0;1;0;0;0;Pas de CAB;0;
87381236;TRIE CHATEAU;;;;;;;;
87116293;VAIRES TORCY;1;1;1;1;1;Pas de CAB;3;2
87281873;MAGENTA;1;1;1;1;1;2;6;42
87394130;MAINTENON;;;;;;;;
87681155;MAISONS ALFORT ALFORTVILLE;0;1;0;1;1;Pas de CAB;0;
87381590;MANTES STATION;1;1;1;1;0;2;0;
87393108;MEUDON;0;1;0;0;0;Pas de CAB;0;
87682302;MONTEREAU;1;1;0;0;1;Pas de CAB;0;
87386318;NANTERRE UNIVERSITE;0;1;0;1;1;Pas de CAB;2;2
87271577;NANTEUIL LE HAUDOIN;;;;;;;;
87684126;NEMOURS SAINT-PIERRE;0;1;0;1;1;Pas de CAB;0;
87381814;VAUX SUR SEINE;0;1;0;0;0;Pas de CAB;0;
87386656;VERNOUILLET VERNEUIL;0;0;1;0;1;1;0;
87393009;VERSAILLES CHANTIERS;0;1;1;0;1;2;4;5
87271437;VERT GALANT;1;1;1;1;1;1;0;
87681619;VILLABE;0;1;1;0;0;Pas de CAB;0;
87681858;VILLENEUVE PRAIRIE;0;0;0;0;0;Pas de CAB;0;
87681809;VILLENEUVE TRIAGE;0;1;0;0;0;Pas de CAB;0;
87276220;VILLIERS LE BEL GONESSE ARNOUVILLE;0;1;0;1;1;1;0;
87393884;VILLIERS NEAUPHLE PONTCHARTRAIN;0;1;0;0;0;Pas de CAB;0;
87113795;VILLIERS SUR MARNE PLESSIS TREVISE;1;1;1;1;1;1;2;3
87545707;VOVES;;;;;;;;
87682443;VULAINES SUR SEINE SAMOREAU;0;0;0;0;0;Pas de CAB;0;
87682112;YERRES;1;1;1;;1;1;0;0
