code_uic;gare;guichet_adapte_pmr;boucle_magnetique;portes_automatiques_acces;bandes_eveil_vigilance;automates_transilien_accessibles;cab_passage_elargi_controle;ascenceurs;escaliers_mecaniques
87758151;SAINT-MAUR CRETEIL;;;;;;;;
87545202;SAINT-MICHELSUR ORGE;1;1;1;0;0;Pas de CAB;0;
87382481;SAINT-NOM LA BRETECHE FORET DE MARLY;1;1;0;1;0;Pas de CAB;2;
87116376;SAINT-REMY LA VANNE;;;;;;;;
87276386;SARCELLES SAINT-BRICE;0;1;1;0;1;1;0;
87545236;SAVIGNY SUR ORGE;0;1;0;0;1;Pas de CAB;0;
87419952;SERANS;;;;;;;;
87271445;SEVRAN BEAUDOTTES;1;1;1;1;1;1;2;3
87382341;SEVRES VILLE D'AVRAY;0;1;0;0;1;Pas de CAB;0;
87382374;SURESNES MONT VALERIEN;1;0;1;0;1;2;2;2
87116491;TRILPORT;1;1;1;1;0;Pas de CAB;0;
87381798;VAL D'ARGENTEUIL;1;1;1;1;1;2;2;2
87382861;VERSAILLES RIVE DROITE;1;0;0;0;1;1;1;1
87393157;VERSAILLES RIVE GAUCHE - CHÂTEAU DE VERSAILLES;1;1;1;0;1;1;0;
87683102;VILLENEUVE LA GUYARD;;;;;;;;
87393413;VILLEPREUX LES CLAYES;1;1;1;0;1;1;0;
87382887;VIROFLAY RIVE DROITE;0;1;0;0;1;Pas de CAB;0;
87758755;ANTONY;;;;;;;;
87381046;AVENUE HENRI MARTIN;0;1;0;1;1;1;2;2
87393116;BELLEVUE;0;1;0;0;1;Pas de CAB;0;
87381152;BOISSY L'AILLERIE;0;0;0;0;0;Pas de CAB;0;
87545731;BONNEVAL;;;;;;;;
87415893;BONNIERES;0;1;0;0;0;Pas de CAB;0;
87276444;BORAN SUR OISE;;;;;;;;
87276485;BOUFFEMONT MOISSELLES;1;1;1;1;1;Pas de CAB;0;
87545483;BREUILLETBRUYERES LE CHATEL;0;1;0;0;0;Pas de CAB;0;
87681510;BUNO GIRONVILLE;0;0;0;0;0;Pas de CAB;0;
87682450;CHAMPAGNE SUR SEINE;0;1;0;1;0;Pas de CAB;0;
87116509;CHANGIS SAINT-JEAN;0;1;0;1;0;Pas de CAB;0;
87276113;CHANTILLY GOUVIEUX;;;;;;;;
87276162;CHAPONVAL;0;0;0;0;0;Pas de CAB;0;
87381194;CHARS;0;1;0;0;0;Pas de CAB;0;
87758607;CHATELET LES HALLES;;;;;;;;
87381228;CHAUMONT EN VEXIN;;;;;;;;
87393173;CHAVILLE VELIZY;0;1;1;;1;Pas de CAB;0;
87546317;CHEMIN D'ANTONY;0;1;0;0;0;Pas de CAB;0;
87393637;CHILLY MAZARIN;0;1;1;0;0;Pas de CAB;0;
87545285;CHOISY LE ROI;1;1;1;0;1;2;3;3
87272047;COMPANS;0;0;0;0;0;Pas de CAB;0;
87116640;CROUY SUR OURCQ;0;1;0;1;0;Pas de CAB;0;
87758631;DENFERT ROCHEREAU;;;;;;;;
87684233;DORDIVES;;;;;;;;
87276147;EPLUCHES;0;0;0;0;0;Pas de CAB;0;
87381418;ERAGNY NEUVILLE;0;1;0;0;0;Pas de CAB;0;
87545137;ETAMPES;0;1;0;0;1;1;0;
87545145;ETRECHY;0;1;0;0;0;Pas de CAB;0;
87681361;EVRY - Val de Seine;0;1;0;0;0;Pas de CAB;0;
87116277;FAREMOUTIERS POMMEUSE;0;0;0;0;0;Pas de CAB;0;
87758763;FONTAINE MICHALON;;;;;;;;
87758714;FONTENAY AUX ROSES;;;;;;;;
87393405;FONTENAY LE FLEURY;1;1;1;0;0;1;0;
87276071;FRANCONVILLE LE PLESSIS BOUCHARD;1;1;1;0;1;2;0;
87113894;FREINVILLE SEVRAN (T4);0;0;0;1;1;Pas de CAB;0;
87276659;FREPILLON;0;0;0;0;0;Pas de CAB;0;
87113860;GARGAN (T4);0;0;0;1;1;Pas de CAB;0;
87381566;GARGENVILLE;0;1;0;0;0;Pas de CAB;0;
87393645;GRAVIGNY BALIZY;0;1;0;0;1;Pas de CAB;0;
87393561;IGNY;0;1;0;0;0;Pas de CAB;0;
87393074;ISSY;1;1;1;0;1;1;0;
87381558;JUZIERS;0;1;0;1;0;Pas de CAB;0;
87545459;LA NORVILLE SAINT-GERMAIN LES ARPAJON;1;1;0;0;0;Pas de CAB;0;
87116319;LAGNY THORIGNY;1;1;1;;1;1;0;1
87271478;LE BLANC MESNIL;1;1;1;1;1;1;0;2
87113522;LE CHENAY GAGNY;1;1;1;1;1;2;3;2
87681635;LE COUDRAY MONTCEAUX;0;0;0;0;0;Pas de CAB;0;
87393298;LE PERRAY;0;0;0;0;0;Pas de CAB;0;
87681627;LE PLESSIS CHENET;0;0;0;0;0;Pas de CAB;0;
87758771;LES BACONNETS;;;;;;;;
87113779;LES BOULLEREAUX CHAMPIGNY;1;1;1;1;1;1;2;2
87276527;L'ISLE ADAM PARMAIN;0;1;0;0;0;Pas de CAB;0;
87988717;LYCEE HENRI SELLIER (T4);0;0;0;1;1;Pas de CAB;0;
87684415;MALESHERBES;;;;;;;;
87545186;MAROLLES EN HUREPOIX;1;1;0;0;0;Pas de CAB;0;
87393579;MASSY PALAISEAU;1;1;1;0;1;1;0;
87381723;MAULE;0;1;0;0;0;Pas de CAB;0;
87393082;MEUDON VAL FLEURY;0;1;0;0;1;Pas de CAB;0;2
87545111;MONNERVILLE;0;0;0;0;0;Pas de CAB;0;
87381160;MONTGEROULT COURCELLES;0;0;0;0;0;Pas de CAB;0;
87276089;MONTIGNY BEAUCHAMP;0;1;0;1;1;2;3;
87116400;MONTRY CONDE;0;0;0;0;0;Pas de CAB;0;
87116558;NANTEUIL SAACY;0;1;0;1;0;Pas de CAB;0;
87381020;NEUILLY PORTE MAILLOT - Palais des Congrès;1;1;0;1;1;2;1;2
87113217;NOISY LE SEC;1;1;1;1;1;Pas de CAB;6;
87546200;ORLY VILLE;0;1;0;0;1;Pas de CAB;0;
87381145;OSNY;0;0;0;0;0;Pas de CAB;0;
87758805;PALAISEAU;;;;;;;;
87381111;PONT CARDINET;0;0;1;0;1;Pas de CAB;0;4
87393041;PONT DE L'ALMA;;1;0;1;1;Pas de CAB;0;
87393322;PONT DU GARIGLIANO - Hôpital Européen GeorgesPompidou;1;1;1;1;1;1;2;2
87276154;PONT PETIT;0;0;0;0;0;Pas de CAB;0;
87111278;PORTE DE CLICHY;1;1;0;1;1;2;2;13
87276410;PRECY SUR OISE;;;;;;;;
87988709;REMISE A JORELLE (T4);0;0;0;1;1;Pas de CAB;0;
87681338;RIS ORANGIS;1;1;0;0;1;Pas de CAB;0;
87393223;SAINT-CYR;0;1;0;0;1;Pas de CAB;0;
87116178;SAINTE-COLOMBE SEPTVEILLES;0;0;0;0;0;Pas de CAB;0;
87366922;SAINT-GERMAIN EN LAYE BEL AIR FOURQUEUX;1;1;1;1;1;Pas de CAB;2;
87683227;SAINT-JULIEN DU SAULT;;;;;;;;
87271247;SAINT-OUEN;1;1;0;0;;1;1;1
87394148;SAINT-PIAT;;;;;;;;
87381186;SANTEUIL LE PERCHAY;0;0;0;0;0;Pas de CAB;0;
87393124;SEVRES RIVE GAUCHE;0;1;0;;1;Pas de CAB;0;
87758193;SUCY BONNEUIL;;;;;;;;
87682252;THOMERY;0;0;0;0;0;Pas de CAB;0;
87758375;TORCY;;;;;;;;
87116210;TOURNAN;1;1;1;1;1;Pas de CAB;3;
87113712;VAL DE FONTENAY;0;1;0;1;0;Pas de CAB;0;4
87276626;VAUCELLES;1;0;1;0;0;Pas de CAB;0;
87116079;VERNEUIL L'ETANG;0;1;0;0;0;Pas de CAB;0;
87415604;VERNON;;;;;;;;
87276568;VIARMES;1;1;0;0;0;Pas de CAB;0;
87681304;VIGNEUX SUR SEINE;0;1;1;;1;1;0;
87271452;VILLEPINTE;1;1;1;1;1;1;0;
87545293;VITRY SUR SEINE;1;1;1;1;1;2;2;1
87682500;VOSVES;0;0;0;0;0;Pas de CAB;0;
87545269;ABLON;0;1;0;0;0;Pas de CAB;0;
87001479;AEROPORT CHARLES DE GAULLE 2 TGV - Roissy;1;1;0;1;;2;1;
87113878;ALLEE DE LA TOUR RENDEZ-VOUS (T4);0;0;0;1;1;Pas de CAB;0;
87758672;ARCUEIL CACHAN;;;;;;;;
87545467;ARPAJON;0;1;1;0;1;Pas de CAB;0;
87386730;AUBERGENVILLE ELISABETHVILLE;0;1;1;0;0;1;0;
87271411;AULNAY SOUS BOIS;1;1;0;1;1;2;0;2
87382002;BECON LESBRUYERES;0;1;0;0;0;Pas de CAB;0;2
87276642;BESSANCOURT;1;1;0;0;0;Pas de CAB;0;
87381079;BOIS COLOMBES;1;1;1;1;1;1;2;4
87758201;BOISSY SAINT-LEGER;;;;;;;;
87543181;BOULAINVILLIERS;0;1;0;1;1;Pas de CAB;2;2
87681478;BOUTIGNY;0;1;0;0;0;Pas de CAB;0;
87682120;BRUNOY;1;1;1;1;1;1;0;
87387092;BUEIL;;;;;;;;
87754986;BUSSY SAINT-GEORGES;;;;;;;;
87382655;CERGY LE HAUT;1;1;1;1;1;1;2;4
87381905;CERGY PREFECTURE;1;1;1;1;1;1;1;4
87382499;CERGY SAINT-CHRISTOPHE;1;1;1;1;1;1;2;4
87276519;CHAMPAGNE SUR OISE;1;1;0;0;0;Pas de CAB;0;
87758060;CHATOU CROISSY;;;;;;;;
